skill,pct_rule,pct_statistical,pct_llm,rank_rule,rank_llm,llm_minus_rule
SQL,40.2,40.2,30.1,1.0,2.0,-10.1
Python,39.6,39.6,41.9,2.0,1.0,2.3
Machine Learning,22.1,22.1,4.6,3.0,19.0,-17.5
AWS,21.3,21.3,12.8,4.0,4.0,-8.5
Agile,20.8,20.8,2.5,5.0,35.0,-18.3
Azure,16.0,16.0,8.4,6.0,9.0,-7.6
Excel,15.8,15.8,7.7,7.0,11.0,-8.1
Spark,15.8,15.8,13.3,7.0,3.0,-2.5
Statistics,15.4,15.4,1.6,9.0,46.0,-13.8
ETL,15.4,15.4,1.4,9.0,50.0,-14.0
Data Warehousing,15.0,15.0,1.2,11.0,56.0,-13.8
Tableau,13.7,13.7,12.3,12.0,5.0,-1.4
Big Data,13.5,13.5,0.4,13.0,117.0,-13.1
Power BI,12.5,12.5,10.1,14.0,6.0,-2.4
Java,11.7,11.7,9.7,15.0,7.0,-2.0
Data Modeling,11.4,11.4,2.1,16.0,41.0,-9.3
Data Pipelines,11.3,11.3,0.3,17.0,133.0,-11.0
GCP,11.1,11.1,5.9,18.0,13.0,-5.2
Snowflake,10.3,10.3,8.6,19.0,8.0,-1.7
Data Visualization,10.2,10.2,1.1,20.0,61.0,-9.1
Scala,8.9,8.9,8.0,21.0,10.0,-0.9
Linux,8.7,8.6,2.8,22.0,30.0,-5.9
Data Governance,8.3,8.3,1.6,23.0,46.0,-6.7
Business Intelligence,8.2,8.2,0.3,24.0,133.0,-7.9
Hadoop,8.0,7.9,6.2,25.0,12.0,-1.8
SQL Server,7.5,7.5,3.3,26.0,24.0,-4.2
NoSQL,7.5,7.5,1.6,26.0,46.0,-5.9
Kafka,7.0,7.0,5.7,28.0,15.0,-1.3
Oracle,7.0,7.0,2.8,28.0,30.0,-4.2
Databricks,6.3,6.3,5.2,30.0,17.0,-1.1
CI/CD,6.2,6.2,1.3,31.0,52.0,-4.9
TensorFlow,6.0,6.0,5.8,32.0,14.0,-0.2
Artificial Intelligence,6.0,6.0,0.8,32.0,79.0,-5.2
PyTorch,6.0,6.0,5.6,32.0,16.0,-0.4
Redshift,5.8,5.8,4.9,35.0,18.0,-0.9
Bash,5.8,5.8,2.5,35.0,35.0,-3.3
Deep Learning,5.8,5.8,1.1,35.0,61.0,-4.7
Classification,5.6,5.6,0.1,38.0,146.0,-5.5
Hive,5.5,5.5,4.0,39.0,21.0,-1.5
MongoDB,5.0,5.0,3.2,40.0,26.0,-1.8
MySQL,5.0,5.0,3.9,40.0,22.0,-1.1
DevOps,4.6,4.6,0.8,42.0,79.0,-3.8
Data Mining,4.6,4.6,1.0,42.0,66.0,-3.6
Kubernetes,4.6,4.6,3.7,42.0,23.0,-0.9
Airflow,4.6,4.6,4.2,42.0,20.0,-0.4
NLP,4.4,4.4,0.6,46.0,90.0,-3.8
Amazon EMR,4.4,4.4,2.8,46.0,30.0,-1.6
Amazon S3,4.4,4.4,2.0,46.0,45.0,-2.4
PostgreSQL,4.1,4.1,3.0,49.0,28.0,-1.1
Jira,4.1,4.1,2.1,49.0,41.0,-2.0
Docker,4.1,4.1,3.0,49.0,28.0,-1.1
SAS,3.9,3.9,3.1,52.0,27.0,-0.8
MLOps,3.9,3.9,0.4,52.0,117.0,-3.5
Cassandra,3.6,3.6,2.4,54.0,37.0,-1.2
Microservices,3.5,3.5,0.4,55.0,117.0,-3.1
Git,3.4,3.4,2.4,56.0,37.0,-1.0
SAP,3.3,3.3,1.0,57.0,66.0,-2.3
MapReduce,3.2,3.2,2.2,58.0,40.0,-1.0
Scrum,3.2,3.2,0.5,58.0,102.0,-2.7
A/B Testing,3.1,3.1,3.3,60.0,24.0,0.2
C++,3.0,2.9,2.4,61.0,37.0,-0.6
Regression,2.8,2.8,0.4,62.0,117.0,-2.4
Pandas,2.7,2.7,2.6,63.0,34.0,-0.1
Gurobi,2.7,2.7,2.1,63.0,41.0,-0.6
scikit-learn,2.7,2.7,2.8,63.0,30.0,0.1
Informatica,2.5,2.5,1.2,66.0,56.0,-1.3
LLMs,2.5,2.5,0.2,66.0,142.0,-2.3
SSIS,2.5,2.5,0.9,66.0,73.0,-1.6
Generative AI,2.2,2.2,0.7,69.0,86.0,-1.5
NumPy,2.1,2.1,2.1,70.0,41.0,0.0
Azure Data Factory,2.0,2.0,1.5,71.0,49.0,-0.5
Computer Vision,1.9,1.9,0.5,72.0,102.0,-1.4
Azure Synapse Analytics,1.9,1.9,1.0,72.0,66.0,-0.9
Looker,1.8,1.8,1.3,74.0,52.0,-0.5
Amazon RDS,1.8,1.8,0.8,74.0,79.0,-1.0
MLflow,1.8,1.8,1.3,74.0,52.0,-0.5
dbt,1.8,1.8,0.9,74.0,73.0,-0.9
Hypothesis Testing,1.8,1.8,0.3,74.0,133.0,-1.5
JavaScript,1.8,1.8,1.2,74.0,56.0,-0.6
C#,1.8,1.7,1.2,74.0,56.0,-0.6
Terraform,1.8,1.8,1.3,74.0,52.0,-0.5
Clustering,1.8,1.8,0.4,74.0,117.0,-1.4
GitHub,1.8,1.8,1.2,74.0,56.0,-0.6
Jenkins,1.7,1.7,1.4,84.0,50.0,-0.3
Reinforcement Learning,1.7,1.7,0.2,84.0,142.0,-1.5
T-SQL,1.6,1.6,1.1,86.0,61.0,-0.5
Salesforce,1.6,1.6,0.7,86.0,86.0,-0.9
PL/SQL,1.5,1.5,1.0,88.0,66.0,-0.5
Confluence,1.5,1.5,0.8,88.0,79.0,-0.7
SharePoint,1.5,1.5,0.8,88.0,79.0,-0.7
SSRS,1.5,1.5,0.6,88.0,90.0,-0.9
PowerShell,1.4,1.4,0.9,92.0,73.0,-0.5
Jupyter,1.4,1.4,1.0,92.0,66.0,-0.4
BigQuery,1.3,1.3,1.1,94.0,61.0,-0.2
DB2,1.3,1.3,0.6,94.0,90.0,-0.7
MATLAB,1.3,1.3,1.1,94.0,61.0,-0.2
Azure DevOps,1.2,1.2,0.8,97.0,79.0,-0.4
SPSS,1.2,1.2,1.0,97.0,66.0,-0.2
Time Series,1.2,1.2,0.1,97.0,146.0,-1.1
React,1.2,1.2,0.5,97.0,102.0,-0.7
Alteryx,1.2,1.2,1.0,97.0,66.0,-0.2
Hugging Face / Transformers,1.1,1.1,0.4,102.0,117.0,-0.7
Feature Engineering,1.1,1.1,0.1,102.0,146.0,-1.0
Amazon Athena,1.0,1.0,0.5,104.0,102.0,-0.5
Ansible,1.0,0.9,0.6,104.0,90.0,-0.4
Amazon EC2,1.0,1.0,0.4,104.0,117.0,-0.6
DynamoDB,1.0,1.0,0.5,104.0,102.0,-0.5
Azure Data Lake,1.0,1.0,0.5,104.0,102.0,-0.5
TDD,1.0,1.0,0.0,104.0,154.0,-1.0
Go,1.0,1.0,0.7,104.0,86.0,-0.3
Qlik,0.9,0.9,0.5,111.0,102.0,-0.4
SageMaker,0.9,0.9,0.4,111.0,117.0,-0.5
Weights & Biases,0.9,0.9,0.9,111.0,73.0,0.0
VBA,0.9,0.9,0.5,111.0,102.0,-0.4
Dask,0.9,0.9,0.9,111.0,73.0,0.0
Teradata,0.9,0.9,0.6,111.0,90.0,-0.3
GitLab,0.8,0.8,0.6,117.0,90.0,-0.2
Keras,0.8,0.8,0.9,117.0,73.0,0.1
Talend,0.8,0.8,0.6,117.0,90.0,-0.2
Delta Lake,0.8,0.8,0.5,117.0,102.0,-0.3
Amazon Kinesis,0.8,0.8,0.5,117.0,102.0,-0.3
AWS Glue,0.8,0.8,0.7,117.0,86.0,-0.1
Apache Storm,0.8,0.8,0.6,117.0,90.0,-0.2
Google Analytics,0.8,0.8,0.6,117.0,90.0,-0.2
Numba,0.8,0.8,0.8,117.0,79.0,0.0
Helm,0.7,0.7,0.5,126.0,102.0,-0.2
Flink,0.7,0.7,0.6,126.0,90.0,-0.1
Amazon Neptune,0.7,0.7,0.5,126.0,102.0,-0.2
Explainable AI,0.7,0.7,0.0,126.0,154.0,-0.7
Perl,0.7,0.7,0.4,126.0,117.0,-0.3
Presto,0.7,0.7,0.3,126.0,133.0,-0.4
Stata,0.7,0.7,0.5,126.0,102.0,-0.2
Ruby,0.6,0.5,0.4,133.0,117.0,-0.2
HBase,0.6,0.6,0.4,133.0,117.0,-0.2
Apache NiFi,0.6,0.6,0.5,133.0,102.0,-0.1
SPARQL,0.6,0.6,0.6,133.0,90.0,0.0
Redis,0.6,0.6,0.4,133.0,117.0,-0.2
Causal Inference,0.6,0.6,0.3,133.0,133.0,-0.3
Elasticsearch,0.6,0.6,0.5,133.0,102.0,-0.1
Bitbucket,0.5,0.5,0.3,140.0,133.0,-0.2
Kubeflow,0.5,0.5,0.4,140.0,117.0,-0.1
XGBoost,0.5,0.5,0.4,140.0,117.0,-0.1
Matplotlib,0.5,0.5,0.6,140.0,90.0,0.1
Splunk,0.5,0.5,0.4,140.0,117.0,-0.1
Grafana,0.4,0.4,0.3,145.0,133.0,-0.1
Flask,0.4,0.4,0.3,145.0,133.0,-0.1
Seaborn,0.3,0.3,0.3,147.0,133.0,0.0
AWS Lambda,0.2,0.2,0.4,148.0,117.0,0.2
Vertex AI,0.2,0.2,0.1,148.0,146.0,-0.1
Julia,0.2,0.2,0.2,148.0,142.0,0.0
Plotly,0.2,0.2,0.1,148.0,146.0,-0.1
NLTK,0.2,0.2,0.2,148.0,142.0,0.0
R,0.2,,0.1,148.0,146.0,-0.1
LightGBM,0.1,0.1,0.1,154.0,146.0,0.0
OpenCV,0.1,0.1,0.1,154.0,146.0,0.0
statsmodels,0.0,0.0,0.0,156.0,154.0,0.0
