first_seen,skill,postings_that_day,mentions,pct
2024-01-12,SQL,1722,537,31.2
2024-01-12,Python,1722,688,40.0
2024-01-12,Machine Learning,1722,488,28.3
2024-01-12,AWS,1722,370,21.5
2024-01-12,Agile,1722,267,15.5
2024-01-12,Azure,1722,265,15.4
2024-01-12,Excel,1722,196,11.4
2024-01-12,Spark,1722,243,14.1
2024-01-12,Statistics,1722,261,15.2
2024-01-12,ETL,1722,261,15.2
2024-01-13,SQL,4946,2310,46.7
2024-01-13,Python,4946,1811,36.6
2024-01-13,Machine Learning,4946,738,14.9
2024-01-13,AWS,4946,890,18.0
2024-01-13,Agile,4946,879,17.8
2024-01-13,Azure,4946,716,14.5
2024-01-13,Excel,4946,1055,21.3
2024-01-13,Spark,4946,658,13.3
2024-01-13,Statistics,4946,767,15.5
2024-01-13,ETL,4946,885,17.9
2024-01-14,SQL,3194,1236,38.7
2024-01-14,Python,3194,1364,42.7
2024-01-14,Machine Learning,3194,796,24.9
2024-01-14,AWS,3194,838,26.2
2024-01-14,Agile,3194,887,27.8
2024-01-14,Azure,3194,624,19.5
2024-01-14,Excel,3194,368,11.5
2024-01-14,Spark,3194,669,20.9
2024-01-14,Statistics,3194,396,12.4
2024-01-14,ETL,3194,458,14.3
2024-01-15,SQL,871,306,35.1
2024-01-15,Python,871,307,35.2
2024-01-15,Machine Learning,871,177,20.3
2024-01-15,AWS,871,169,19.4
2024-01-15,Agile,871,193,22.2
2024-01-15,Azure,871,124,14.2
2024-01-15,Excel,871,130,14.9
2024-01-15,Spark,871,117,13.4
2024-01-15,Statistics,871,153,17.6
2024-01-15,ETL,871,113,13.0
2024-01-16,SQL,1211,430,35.5
2024-01-16,Python,1211,533,44.0
2024-01-16,Machine Learning,1211,393,32.5
2024-01-16,AWS,1211,242,20.0
2024-01-16,Agile,1211,229,18.9
2024-01-16,Azure,1211,164,13.5
2024-01-16,Excel,1211,157,13.0
2024-01-16,Spark,1211,173,14.3
2024-01-16,Statistics,1211,275,22.7
2024-01-16,ETL,1211,130,10.7
2024-01-17,SQL,273,96,35.2
2024-01-17,Python,273,135,49.5
2024-01-17,Machine Learning,273,103,37.7
2024-01-17,AWS,273,97,35.5
2024-01-17,Agile,273,92,33.7
2024-01-17,Azure,273,60,22.0
2024-01-17,Excel,273,28,10.3
2024-01-17,Spark,273,66,24.2
2024-01-17,Statistics,273,28,10.3
2024-01-17,ETL,273,32,11.7
